# Profile Compression settings. Method: Running Average. using 1 datapoints
# Profile Smoothing is Disabled
#	C-	O-	Si-	CF-	^34S-	In-	
#	12.0009	15.9967	27.9977	30.9992	33.9682	114.9025	
#Depth (nm)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	Intensity(Background Corrected)	
1.76617	1956.28	6358.24	3.0007	3417.2	22.0188	12.0164	
5.29851	1786.12	6145.07	2.00037	3249.49	26.027	10.0151	
8.83084	1822.85	6010.69	9.00266	3237.74	26.0302	10.0127	
12.3632	1690.37	5848.76	3.00064	3135.67	21.016	11.0132	
15.8955	1730.34	5906.67	2.00024	3149.37	24.0205	5.004	
19.4279	1662.68	5904.75	4.00098	3062.13	14.006	5.00467	
22.9602	1749.13	5800.8	1.00021	3132.83	17.013	7.00681	
26.4925	1778.09	5835.33	4.00073	3222.68	16.0117	11.0093	
30.0249	1683.62	5967.16	2.00055	3094.33	18.0188	8.01296	
33.5572	1595.4	5897.45	1.00003	2921.88	29.0292	2.00153	
37.0895	1771.63	5931.47	4.00073	3085.46	20.0147	9.0092	
40.6219	1782.78	5830.76	6.00244	3020.6	19.0145	2.0011	
44.1542	1657.15	5820.18	1.00009	3079.84	18.0121	9.00736	
47.6866	1733.56	5815.49	4.00049	3014.99	23.0187	6.00617	
51.2189	1686.05	5651.22	6.0022	3037.82	23.0176	7.00669	
54.7512	1716.9	5770.05	6.00202	3096.66	18.0143	8.00984	
58.2836	1802.86	5773.74	2.00037	3047.49	19.0145	8.00898	
61.8159	1608.53	5765.2	2.00024	3087.71	27.0289	7.00687	
65.3483	1638.56	5622.58	4.00098	3037.24	22.0233	4.00287	
68.8806	1684.83	5587.36	4.00073	3043.26	27.0305	6.00391	
72.4129	1619.46	5762.2	6.00195	3054.31	23.0176	7.0081	
75.9453	1588.58	5622.17	3.00089	2980.36	25.0267	5.00522	
79.4776	1647.08	5609.61	4.00122	2928.06	13.006	4.00354	
83.0099	1649.3	5604.44	1.00009	3008.57	22.0242	12.0201	
86.5423	1709.12	5702.08	3.00046	3045.46	12.0066	6.00721	
90.0746	1686.94	5646.75	1.00009	3051.28	28.0277	10.0148	
93.607	1753.7	5753.25	1.00003	3118.51	16.0108	9.01073	
97.1393	1653.72	5807.5	3.00052	3102.37	17.0119	9.00907	
100.672	1611.74	5762.36	5.00143	3017.6	12.0051	6.00666	
104.204	1632.93	5686.33	3.00027	2995.96	20.0147	9.01293	
107.736	1708.23	5507.15	2.00037	3020.58	18.0132	9.00602	
111.269	1668.11	5678.11	6.00147	3057.66	19.0145	6.00617	
114.801	1588.69	5857.49	6.0022	3076.01	22.0175	9.00785	
118.333	1670.43	5659.87	2.00037	2910.13	23.0218	7.00865	
121.866	1645.08	5785.13	1.00021	2982.36	17.013	6.0085	
125.398	1616.26	5846.62	2.00037	3027.02	14.0086	8.00831	
128.93	1657.15	5578.3	3.00027	3019.19	23.0189	8.01143	
132.463	1635.03	5647.57	3.00082	3101.79	15.0087	4.00367	
135.995	1599.71	5726.01	2.00043	3038.85	27.0289	7.00455	
139.527	1641.66	5683.74	2.00037	3024.8	20.0147	7.00773	
143.06	1645.19	5575.9	4.00073	2916.1	18.0165	4.00464	
146.592	1668.11	5429.35	5.00107	2976.16	16.0088	9.0092	
150.124	1616.15	5588.18	3.00064	3070.77	19.0145	7.00834	
153.657	1563.36	5655.22	2.00012	3030.02	28.0257	5.00382	
157.189	1621.67	5590.77	4.00085	3044.46	16.0117	13.014	
160.721	1599.71	5550.23	4.00073	3011.78	23.019	5.00504	
164.254	1688.05	5562.66	1.00009	2999.57	21.016	8.00898	
167.786	1682.83	5700.32	4.00073	2979.96	22.0188	1.00082	
171.318	1603.02	5563.25	6.0011	2953.58	27.0289	11.0124	
174.851	1722.45	5700.66	0	3021.19	19.0157	7.00706	
178.383	1678.08	5644.51	4.00085	3011.18	24.0235	7.00914	
181.915	1730.23	5588.91	0	3006.57	16.0108	4.00489	
185.448	1667.32	5745.3	4.00098	2978.56	23.0162	3.00211	
188.98	1675.97	5621.35	2.00018	3072.6	22.0175	4.00532	
192.512	1743.57	5579.3	4.00098	3033.8	19.0157	4.00373	
196.045	1639.45	5604.28	5.00107	3009.78	12.0051	8.0088	
199.577	1638.24	5713.23	1.00027	3024.21	19.0168	12.0141	
203.109	1699.47	5639.87	5.00198	3083.05	19.0168	7.01171	
206.642	1649.3	5504.76	1.00009	2969.36	18.011	5.0048	
210.174	1680.29	5570.68	6.00189	2955.98	21.0173	10.0134	
213.706	1579.77	5520.76	5.00137	3055.31	11.0064	3.00302	
217.239	1650.4	5497.96	2.00073	2954.19	23.0274	6.00544	
220.771	1673.75	5533.99	0	2873.33	17.0088	4.00342	
224.303	1646.08	5602.85	2.00049	2971.96	23.0204	7.00547	
227.836	1560.26	5585.96	5.00076	3021.8	20.0147	6.00587	
231.368	1614.15	5462.43	1.00009	2956.98	20.0147	10.0093	
234.9	1679.29	5530.98	2.00024	2957.57	23.0204	8.01149	
238.433	1620.67	5453.84	4.00098	2923.48	16.0116	6.00458	
241.965	1647.08	5494.17	2.00024	3060.33	19.0122	6.00519	
245.497	1625.09	5581.33	3.00107	2931.64	17.0119	5.00547	
249.03	1635.03	5668.87	1.00009	2989.96	24.0235	9.01244	
252.562	1654.83	5539.22	4.00073	3004.97	24.0235	1.00076	
256.095	1615.26	5607.85	4.00104	2980.96	16.0088	6.00605	
259.627	1674.86	5639.59	0	2978.36	20.017	3.00302	
